name,rating,card_type,position,nation,league,team,pace,shooting,passing,dribbling,defense,physicality
Lionel Messi,98,team-of-the-season,ST,Argentina,Ligue 1 Uber Eats,Paris SG,94,97,96,99,40,79
Lionel Messi,98,team-of-the-year,RW,Argentina,Ligue 1 Uber Eats,Paris SG,93,98,97,99,40,77
Pelé,98,icon,CAM,Brazil,Icons,Icons,95,96,93,96,60,76
Jude Bellingham,97,award-winner,CM,England,Bundesliga,Borussia Dortmund,90,90,94,98,93,94
Victor Osimhen,97,award-winner,ST,Nigeria,Serie A TIM,Napoli,99,97,82,94,55,95
Robert Lewandowski,97,award-winner,ST,Poland,LaLiga Santander,FC Barcelona,90,99,86,93,51,90
Erling Haaland,97,award-winner,ST,Norway,Premier League,Manchester City,97,97,82,90,61,95
Kylian Mbappé,97,award-winner,ST,France,Ligue 1 Uber Eats,Paris SG,99,97,87,99,43,85
Toni Kroos,97,a9pu530,CDM,Germany,LaLiga Santander,Real Madrid,90,87,96,93,92,90
Rafael Leão,97,team-of-the-season,LW,Portugal,Serie A TIM,Milan,99,93,89,98,40,91
Victor Osimhen,97,team-of-the-season,ST,Nigeria,Serie A TIM,Napoli,99,97,82,94,55,95
Kylian Mbappé,97,team-of-the-season,ST,France,Ligue 1 Uber Eats,Paris SG,99,97,87,99,43,85
Karim Benzema,97,team-of-the-season,CF,France,LaLiga Santander,Real Madrid,93,96,89,93,45,94
Luka Modrić,97,team-of-the-season,CM,Croatia,LaLiga Santander,Real Madrid,87,87,99,99,86,84
Robert Lewandowski,97,team-of-the-season,ST,Poland,LaLiga Santander,FC Barcelona,90,99,86,93,51,90
Jamal Musiala,97,team-of-the-season,CAM,Germany,Bundesliga,FC Bayern München,94,88,92,98,81,86
Jude Bellingham,97,team-of-the-season,CM,England,Bundesliga,Borussia Dortmund,90,90,94,98,93,94
Kevin De Bruyne,97,team-of-the-season,CM,Belgium,Premier League,Manchester City,84,92,99,95,85,87
Erling Haaland,97,team-of-the-season,ST,Norway,Premier League,Manchester City,97,97,82,90,61,95
Ronaldo,97,special-item,ST,Brazil,Icons,Icons,97,96,82,96,45,82
Zinedine Zidane,97,special-item,CAM,France,Icons,Icons,86,93,96,95,81,88
Kevin De Bruyne,97,team-of-the-year,CM,Belgium,Premier League,Manchester City,85,94,98,94,81,86
Karim Benzema,97,team-of-the-year,CF,France,LaLiga Santander,Real Madrid,92,97,90,94,45,90
Kylian Mbappé,97,team-of-the-year,ST,France,Ligue 1 Uber Eats,Paris SG,99,96,88,98,44,87
Khvicha Kvaratskhelia,96,award-winner,LW,Georgia,Serie A TIM,Napoli,98,91,92,98,52,82
Khvicha Kvaratskhelia,96,team-of-the-season,LW,Georgia,Serie A TIM,Napoli,98,91,92,98,52,82
Neymar Jr,96,team-of-the-season-moments,LW,Brazil,Ligue 1 Uber Eats,Paris SG,95,93,92,99,44,71
